INFO:root: 2019-01-14 14:02:33 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 14:02:33 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:36:29 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 14:36:29 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:52:40 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 14:52:40 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:52:40 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:53:10 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 14:53:10 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:53:10 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:55:58 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 14:55:58 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 14:55:58 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:13:09 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:13:09 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:13:09 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:13:31 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:13:31 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:13:31 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

INFO:root: 2019-01-14 15:15:33 Ran with args: (abdata, db: ab_data.db, 'ab_data.db'), and kwargs: {} 

INFO:root: 2019-01-14 15:15:33 Ran with args: (abdata, db: ab_data.db,), and kwargs: {} 

